t,x,z,th1,th2,dth1,dth2
0.0277,2,-0.00293741,-0.00238665,0.00183588,-0.172321,0.132554
0.0278,2,-0.00295866,-0.00240391,0.00184916,-0.172943,0.133033
0.0279,2,-0.00297998,-0.00242123,0.00186249,-0.173565,0.133511
0.028,2,-0.00300138,-0.00243862,0.00187586,-0.174187,0.13399
0.0281,2,-0.00302286,-0.00245607,0.00188928,-0.174809,0.134468
0.0282,2,-0.00304441,-0.00247358,0.00190276,-0.175431,0.134947
0.0283,2,-0.00306604,-0.00249116,0.00191627,-0.176053,0.135425
0.0284,2,-0.00308775,-0.00250879,0.00192984,-0.176676,0.135904
0.0285,2,-0.00310953,-0.00252649,0.00194345,-0.177298,0.136383
0.0286,2,-0.00313139,-0.00254425,0.00195712,-0.17792,0.136861
0.0287,2,-0.00315332,-0.00256208,0.00197083,-0.178542,0.13734
0.0288,2,-0.00317534,-0.00257996,0.00198458,-0.179164,0.137818
0.0289,2,-0.00319743,-0.00259791,0.00199839,-0.179786,0.138297
0.029,2,-0.00321959,-0.00261592,0.00201224,-0.180408,0.138775
0.0291,2,-0.00324183,-0.00263399,0.00202615,-0.18103,0.139254
0.0292,2,-0.00326415,-0.00265213,0.00204009,-0.181652,0.139732
0.0293,2,-0.00328655,-0.00267032,0.00205409,-0.182274,0.140211
0.0294,2,-0.00330902,-0.00268858,0.00206814,-0.182896,0.140689
0.0295,2,-0.00333157,-0.0027069,0.00208223,-0.183519,0.141168
0.0296,2,-0.00335419,-0.00272528,0.00209637,-0.184141,0.141646
0.0297,2,-0.0033769,-0.00274373,0.00211056,-0.184763,0.142125
0.0298,2,-0.00339967,-0.00276224,0.0021248,-0.185385,0.142603
0.0299,2,-0.00342253,-0.00278081,0.00213908,-0.186007,0.143082
0.03,2,-0.00344546,-0.00279944,0.00215341,-0.186629,0.14356
0.0301,2,-0.00346847,-0.00281813,0.00216779,-0.187251,0.144039
0.0302,2,-0.00349155,-0.00283689,0.00218222,-0.187873,0.144518
0.0303,2,-0.00351471,-0.00285571,0.0021967,-0.188495,0.144996
0.0304,2,-0.00353795,-0.00287459,0.00221122,-0.189117,0.145475
0.0305,2,-0.00356127,-0.00289353,0.00222579,-0.18974,0.145953
0.0306,2,-0.00358466,-0.00291254,0.00224041,-0.190362,0.146432
0.0307,2,-0.00360812,-0.0029316,0.00225508,-0.190984,0.14691
0.0308,2,-0.00363167,-0.00295073,0.00226979,-0.191606,0.147389
0.0309,2,-0.00365529,-0.00296992,0.00228455,-0.192228,0.147867
0.031,2,-0.00367899,-0.00298918,0.00229937,-0.19285,0.148346
0.0311,2,-0.00370276,-0.00300849,0.00231422,-0.193472,0.148824
0.0312,2,-0.00372661,-0.00302787,0.00232913,-0.194094,0.149303
0.0313,2,-0.00375054,-0.00304731,0.00234408,-0.194716,0.149781
0.0314,2,-0.00377454,-0.00306682,0.00235909,-0.195338,0.15026
0.0315,1.99999,-0.00379862,-0.00308638,0.00237414,-0.19596,0.150738
0.0316,1.99999,-0.00382278,-0.00310601,0.00238923,-0.196583,0.151217
0.0317,1.99999,-0.00384701,-0.0031257,0.00240438,-0.197205,0.151695
0.0318,1.99999,-0.00387132,-0.00314545,0.00241957,-0.197827,0.152174
0.0319,1.99999,-0.0038957,-0.00316526,0.00243481,-0.198449,0.152652
0.032,1.99999,-0.00392017,-0.00318514,0.0024501,-0.199071,0.153131
0.0321,1.99999,-0.00394471,-0.00320508,0.00246544,-0.199693,0.15361
0.0322,1.99999,-0.00396932,-0.00322508,0.00248083,-0.200315,0.154088
0.0323,1.99999,-0.00399401,-0.00324514,0.00249626,-0.200937,0.154567
0.0324,1.99999,-0.00401878,-0.00326526,0.00251174,-0.201559,0.155045
0.0325,1.99999,-0.00404363,-0.00328545,0.00252727,-0.202181,0.155524
0.0326,1.99999,-0.00406855,-0.0033057,0.00254284,-0.202803,0.156002
0.0327,1.99999,-0.00409355,-0.00332601,0.00255847,-0.203426,0.156481
0.0328,1.99999,-0.00411862,-0.00334639,0.00257414,-0.204048,0.156959
0.0329,1.99999,-0.00414378,-0.00336682,0.00258986,-0.20467,0.157438
0.033,1.99999,-0.004169,-0.00338732,0.00260563,-0.205292,0.157916
0.0331,1.99999,-0.00419431,-0.00340788,0.00262144,-0.205914,0.158395
0.0332,1.99999,-0.00421969,-0.0034285,0.00263731,-0.206536,0.158873
0.0333,1.99999,-0.00424515,-0.00344919,0.00265322,-0.207158,0.159352
0.0334,1.99999,-0.00427068,-0.00346993,0.00266918,-0.20778,0.15983
0.0335,1.99999,-0.0042963,-0.00349074,0.00268518,-0.208402,0.160309
0.0336,1.99999,-0.00432198,-0.00351161,0.00270124,-0.209024,0.160787
0.0337,1.99999,-0.00434775,-0.00353255,0.00271734,-0.209646,0.161266
0.0338,1.99999,-0.00437359,-0.00355354,0.00273349,-0.210269,0.161744
0.0339,1.99999,-0.00439951,-0.0035746,0.00274969,-0.210891,0.162223
0.034,1.99999,-0.0044255,-0.00359572,0.00276594,-0.211513,0.162701
0.0341,1.99999,-0.00445157,-0.0036169,0.00278223,-0.212135,0.16318
0.0342,1.99999,-0.00447772,-0.00363815,0.00279857,-0.212757,0.163659
0.0343,1.99999,-0.00450394,-0.00365946,0.00281496,-0.213379,0.164137
0.0344,1.99999,-0.00453024,-0.00368082,0.0028314,-0.214001,0.164616
0.0345,1.99999,-0.00455662,-0.00370226,0.00284788,-0.214623,0.165094
