t,th1,th2,dth1,dth2
0.0359,-0.00369448,0.00264363,-0.20582,0.147277
0.036,-0.00371509,0.00265837,-0.206394,0.147687
0.0361,-0.00373576,0.00267316,-0.206967,0.148097
0.0362,-0.00375649,0.00268799,-0.20754,0.148507
0.0363,-0.00377727,0.00270287,-0.208114,0.148917
0.0364,-0.00379811,0.00271778,-0.208687,0.149328
0.0365,-0.00381901,0.00273273,-0.20926,0.149738
0.0366,-0.00383996,0.00274772,-0.209834,0.150148
0.0367,-0.00386097,0.00276276,-0.210407,0.150558
0.0368,-0.00388204,0.00277784,-0.21098,0.150969
0.0369,-0.00390317,0.00279295,-0.211553,0.151379
0.037,-0.00392435,0.00280811,-0.212127,0.151789
0.0371,-0.00394559,0.00282331,-0.2127,0.152199
0.0372,-0.00396689,0.00283855,-0.213273,0.15261
0.0373,-0.00398825,0.00285383,-0.213847,0.15302
0.0374,-0.00400966,0.00286916,-0.21442,0.15343
0.0375,-0.00403113,0.00288452,-0.214993,0.15384
0.0376,-0.00405266,0.00289992,-0.215567,0.15425
0.0377,-0.00407425,0.00291537,-0.21614,0.154661
0.0378,-0.00409589,0.00293086,-0.216713,0.155071
0.0379,-0.00411759,0.00294638,-0.217287,0.155481
0.038,-0.00413935,0.00296195,-0.21786,0.155891
0.0381,-0.00416116,0.00297756,-0.218433,0.156302
0.0382,-0.00418303,0.00299321,-0.219007,0.156712
0.0383,-0.00420496,0.0030089,-0.21958,0.157122
0.0384,-0.00422695,0.00302464,-0.220153,0.157532
0.0385,-0.00424899,0.00304041,-0.220726,0.157943
0.0386,-0.00427109,0.00305623,-0.2213,0.158353
0.0387,-0.00429325,0.00307208,-0.221873,0.158763
0.0388,-0.00431547,0.00308798,-0.222446,0.159173
0.0389,-0.00433774,0.00310392,-0.22302,0.159583
0.039,-0.00436007,0.0031199,-0.223593,0.159994
0.0391,-0.00438246,0.00313592,-0.224166,0.160404
0.0392,-0.00440491,0.00315198,-0.22474,0.160814
0.0393,-0.00442741,0.00316808,-0.225313,0.161224
0.0394,-0.00444997,0.00318422,-0.225886,0.161635
0.0395,-0.00447259,0.0032004,-0.22646,0.162045
0.0396,-0.00449526,0.00321663,-0.227033,0.162455
0.0397,-0.00451799,0.0032329,-0.227606,0.162865
0.0398,-0.00454078,0.0032492,-0.228179,0.163275
0.0399,-0.00456363,0.00326555,-0.228753,0.163686
0.04,-0.00458653,0.00328194,-0.229326,0.164096
0.0401,-0.00460949,0.00329837,-0.229899,0.164506
0.0402,-0.00463251,0.00331484,-0.230473,0.164916
0.0403,-0.00465559,0.00333135,-0.231046,0.165327
0.0404,-0.00467872,0.00334791,-0.231619,0.165737
0.0405,-0.00470191,0.0033645,-0.232193,0.166147
0.0406,-0.00472516,0.00338114,-0.232766,0.166557
0.0407,-0.00474846,0.00339781,-0.233339,0.166967
0.0408,-0.00477183,0.00341453,-0.233913,0.167378
0.0409,-0.00479525,0.00343129,-0.234486,0.167788
0.041,-0.00481872,0.00344809,-0.235059,0.168198
0.0411,-0.00484226,0.00346493,-0.235632,0.168608
0.0412,-0.00486585,0.00348181,-0.236206,0.169019
0.0413,-0.0048895,0.00349873,-0.236779,0.169429
0.0414,-0.00491321,0.00351569,-0.237352,0.169839
0.0415,-0.00493697,0.0035327,-0.237926,0.170249
0.0416,-0.00496079,0.00354974,-0.238499,0.170659
0.0417,-0.00498467,0.00356683,-0.239072,0.17107
0.0418,-0.00500861,0.00358396,-0.239646,0.17148
0.0419,-0.0050326,0.00360113,-0.240219,0.17189
0.042,-0.00505665,0.00361834,-0.240792,0.1723
0.0421,-0.00508076,0.00363559,-0.241365,0.17271
0.0422,-0.00510492,0.00365288,-0.241939,0.173121
0.0423,-0.00512915,0.00367021,-0.242512,0.173531
0.0424,-0.00515343,0.00368758,-0.243085,0.173941
0.0425,-0.00517776,0.003705,-0.243659,0.174351
0.0426,-0.00520216,0.00372245,-0.244232,0.174762
0.0427,-0.00522661,0.00373995,-0.244805,0.175172
0.0428,-0.00525112,0.00375749,-0.245379,0.175582
0.0429,-0.00527568,0.00377507,-0.245952,0.175992
0.043,-0.00530031,0.00379269,-0.246525,0.176402
0.0431,-0.00532499,0.00381035,-0.247099,0.176813
0.0432,-0.00534973,0.00382805,-0.247672,0.177223
0.0433,-0.00537452,0.00384579,-0.248245,0.177633
0.0434,-0.00539938,0.00386358,-0.248818,0.178043
0.0435,-0.00542429,0.0038814,-0.249392,0.178454
0.0436,-0.00544926,0.00389927,-0.249965,0.178864
0.0437,-0.00547428,0.00391717,-0.250538,0.179274
0.0438,-0.00549936,0.00393512,-0.251112,0.179684
0.0439,-0.0055245,0.00395311,-0.251685,0.180094
0.044,-0.0055497,0.00397114,-0.252258,0.180505
0.0441,-0.00557495,0.00398921,-0.252832,0.180915
0.0442,-0.00560027,0.00400732,-0.253405,0.181325
0.0443,-0.00562564,0.00402548,-0.253978,0.181735
0.0444,-0.00565106,0.00404367,-0.254551,0.182145
0.0445,-0.00567655,0.00406191,-0.255125,0.182556
0.0446,-0.00570209,0.00408018,-0.255698,0.182966
0.0447,-0.00572769,0.0040985,-0.256271,0.183376
0.0448,-0.00575334,0.00411686,-0.256845,0.183786
0.0449,-0.00577905,0.00413526,-0.257418,0.184196
0.045,-0.00580483,0.0041537,-0.257991,0.184607
0.0451,-0.00583065,0.00417218,-0.258565,0.185017
0.0452,-0.00585654,0.0041907,-0.259138,0.185427
0.0453,-0.00588248,0.00420926,-0.259711,0.185837
0.0454,-0.00590848,0.00422787,-0.260285,0.186248
0.0455,-0.00593454,0.00424651,-0.260858,0.186658
0.0456,-0.00596065,0.0042652,-0.261431,0.187068
0.0457,-0.00598682,0.00428393,-0.262004,0.187478
0.0458,-0.00601305,0.00430269,-0.262578,0.187888
0.0459,-0.00603934,0.0043215,-0.263151,0.188299
